date,time,entidad,compra,venta
2026-07-18,2026-07-18T13:01:40Z,Cambio Extranjero,58,
2026-07-18,2026-07-18T13:01:40Z,Asociación Romana,57.8,
2026-07-18,2026-07-18T13:01:40Z,Taveras,58.1,58.7
2026-07-18,2026-07-18T13:01:40Z,RM,58.1,58.7
2026-07-18,2026-07-18T13:01:40Z,Panora Exchange,58.1,58.8
2026-07-18,2026-07-18T13:01:40Z,Moneycorps,58.2,58.9
2026-07-18,2026-07-18T13:01:40Z,Gamelin,58,58.9
2026-07-18,2026-07-18T13:01:40Z,SCT,58.3,59
2026-07-18,2026-07-18T13:01:40Z,Motor Crédito,58,59.7
2026-07-18,2026-07-18T13:01:40Z,Banco Unión,57.9,59.9
2026-07-18,2026-07-18T13:01:40Z,Banco BHD,56.05,60
2026-07-18,2026-07-18T13:01:40Z,Banreservas,57,60.25
2026-07-18,2026-07-18T13:01:40Z,Asociación Cibao de Ahorros y Préstamos,57,60.25
2026-07-18,2026-07-18T13:01:40Z,Asociación La Nacional de Ahorros y Préstamos,57,60.25
2026-07-18,2026-07-18T13:01:40Z,Bonanza Banco,58,60.5
2026-07-18,2026-07-18T13:01:40Z,Banco Lafise,57.2,60.5
2026-07-18,2026-07-18T13:01:40Z,Asociación Popular de Ahorros y Préstamos,57.05,60.5
2026-07-18,2026-07-18T13:01:40Z,Abonap,57.27,60.56
2026-07-18,2026-07-18T13:01:40Z,Banesco,56.8,60.6
2026-07-18,2026-07-18T13:01:40Z,Asociación Peravia de Ahorros y Préstamos,56.8,60.949999999999996
