date,time,entidad,compra,venta
2025-06-22,2025-06-22T13:31:11Z,Capla,59.2,
2025-06-22,2025-06-22T13:31:11Z,Agente de Cambio La Nacional,58.75,
2025-06-22,2025-06-22T13:31:11Z,Asociación Mocana,56,
2025-06-22,2025-06-22T13:31:11Z,Asociación Romana,58.6,
2025-06-22,2025-06-22T13:31:11Z,Taveras,59,59.449999999999996
2025-06-22,2025-06-22T13:31:11Z,Cambio Extranjero,59.339999999999996,59.49
2025-06-22,2025-06-22T13:31:11Z,Girosol,59.1,59.5
2025-06-22,2025-06-22T13:31:11Z,SCT,59.1,59.7
2025-06-22,2025-06-22T13:31:11Z,RM,59.3,59.7
2025-06-22,2025-06-22T13:31:11Z,Panora Exchange,59.25,59.75
2025-06-22,2025-06-22T13:31:11Z,Gamelin,59.15,59.75
2025-06-22,2025-06-22T13:31:11Z,Moneycorps,59.3,59.8
2025-06-22,2025-06-22T13:31:11Z,Asociación Cibao de Ahorros y Préstamos,58.449999999999996,60.25
2025-06-22,2025-06-22T13:31:11Z,Alaver,58.449999999999996,60.25
2025-06-22,2025-06-22T13:31:11Z,Banreservas,58.4,60.25
2025-06-22,2025-06-22T13:31:11Z,Bonanza Banco,58.6,60.25
2025-06-22,2025-06-22T13:31:11Z,Banco Caribe,58.4,60.25
2025-06-22,2025-06-22T13:31:11Z,Motor Crédito,58.55,60.25
2025-06-22,2025-06-22T13:31:11Z,Abonap,58.21,60.41
2025-06-22,2025-06-22T13:31:11Z,Banco Vimenca,58.75,60.5
2025-06-22,2025-06-22T13:31:11Z,Banco BHD,57.75,60.5
2025-06-22,2025-06-22T13:31:11Z,Banco Lafise,58.15,60.5
2025-06-22,2025-06-22T13:31:11Z,Asociación Peravia de Ahorros y Préstamos,58.1,60.5
2025-06-22,2025-06-22T13:31:11Z,Banco Popular,57.5,60.5
2025-06-22,2025-06-22T13:31:11Z,Banco Unión,58.2,60.5
2025-06-22,2025-06-22T13:31:11Z,Banesco,58.4,60.5
2025-06-22,2025-06-22T13:31:11Z,Asociación Duarte,58.2,60.5
2025-06-22,2025-06-22T13:31:11Z,Asociación Popular de Ahorros y Préstamos,57.9,60.5
2025-06-22,2025-06-22T13:31:11Z,Asociación La Nacional de Ahorros y Préstamos,58.3,60.6
