date,time,entidad,compra,venta
2025-01-24,2025-01-24T13:21:37Z,Agente de Cambio La Nacional,61,
2025-01-24,2025-01-24T13:21:37Z,Asociación Peravia de Ahorros y Préstamos,60.6,61.6
2025-01-24,2025-01-24T13:21:37Z,Banreservas,60.15,61.65
2025-01-24,2025-01-24T13:21:37Z,Girosol,61,61.7
2025-01-24,2025-01-24T13:21:37Z,Banco Lafise,60.2,61.7
2025-01-24,2025-01-24T13:21:37Z,Scotiabank Cambio online,59.949999999999996,61.7
2025-01-24,2025-01-24T13:21:37Z,Alaver,60.7,61.7
2025-01-24,2025-01-24T13:21:37Z,Asociación La Nacional de Ahorros y Préstamos,60.7,61.7
2025-01-24,2025-01-24T13:21:37Z,Banesco,60,61.7
2025-01-24,2025-01-24T13:21:37Z,Bonanza Banco,60.7,61.7
2025-01-24,2025-01-24T13:21:37Z,Banco Popular,59.949999999999996,61.7
2025-01-24,2025-01-24T13:21:37Z,Banco Caribe,60.7,61.7
2025-01-24,2025-01-24T13:21:37Z,Asociación Popular de Ahorros y Préstamos,60,61.7
2025-01-24,2025-01-24T13:21:37Z,Asociación Cibao de Ahorros y Préstamos,60.75,61.75
2025-01-24,2025-01-24T13:21:37Z,Scotiabank,59.8,61.75
2025-01-24,2025-01-24T13:21:37Z,Motor Crédito,60.8,61.75
2025-01-24,2025-01-24T13:21:37Z,Taveras,61.3,61.8
2025-01-24,2025-01-24T13:21:37Z,SCT,61.1,61.8
2025-01-24,2025-01-24T13:21:37Z,Cambio Extranjero,61.1,61.89
2025-01-24,2025-01-24T13:21:37Z,Gamelin,61.4,61.949999999999996
2025-01-24,2025-01-24T13:21:37Z,Capla,61.5,62
2025-01-24,2025-01-24T13:21:37Z,Moneycorps,61.55,62
2025-01-24,2025-01-24T13:21:37Z,RM,61.5,62
2025-01-24,2025-01-24T13:21:37Z,Panora Exchange,61.3,62
