date,time,entidad,compra,venta
2026-07-02,2026-07-02T13:48:04Z,Cambio Extranjero,58.5,
2026-07-02,2026-07-02T13:48:04Z,Asociación Romana,57.65,
2026-07-02,2026-07-02T13:48:04Z,Panora Exchange,58.5,59.5
2026-07-02,2026-07-02T13:48:04Z,Moneycorps,58.5,59.55
2026-07-02,2026-07-02T13:48:04Z,SCT,58.5,59.6
2026-07-02,2026-07-02T13:48:04Z,Gamelin,58.5,59.7
2026-07-02,2026-07-02T13:48:04Z,Taveras,58.5,59.7
2026-07-02,2026-07-02T13:48:04Z,Motor Crédito,58.6,60.2
2026-07-02,2026-07-02T13:48:04Z,RM,59.5,60.5
2026-07-02,2026-07-02T13:48:04Z,Bonanza Banco,58.5,60.5
2026-07-02,2026-07-02T13:48:04Z,Asociación Cibao de Ahorros y Préstamos,57.5,60.75
2026-07-02,2026-07-02T13:48:04Z,Banreservas,57.75,60.75
2026-07-02,2026-07-02T13:48:04Z,Banco Caribe,58.25,60.75
2026-07-02,2026-07-02T13:48:04Z,Asociación La Nacional de Ahorros y Préstamos,57.8,60.8
2026-07-02,2026-07-02T13:48:04Z,Banco Lafise,57.5,60.8
2026-07-02,2026-07-02T13:48:04Z,Asociación Popular de Ahorros y Préstamos,58,60.8
2026-07-02,2026-07-02T13:48:04Z,Abonap,57.75,60.809999999999995
2026-07-02,2026-07-02T13:48:04Z,Banesco,57.5,60.849999999999994
2026-07-02,2026-07-02T13:48:04Z,Banco BHD,57.05,60.9
2026-07-02,2026-07-02T13:48:04Z,Banco Unión,58.5,60.9
2026-07-02,2026-07-02T13:48:04Z,Asociación Peravia de Ahorros y Préstamos,56.949999999999996,60.9
