date,bank,tipo,buy,sell
2025-04-29,Scotiabank,Dólar (USD) Sucursales,57.9,60.85
2025-04-29,Scotiabank,Dólar (USD) Canales Digitales*,58.1,60.6
2025-04-29,Banreservas,,58.4,60.25
2025-04-29,Banco Popular,,58.1,60.6
2025-04-29,BHD,,58.4,60.6
2025-04-29,Santa Cruz,,58.25,60.5
2025-04-29,Banco Caribe,,58.4,60.25
2025-04-29,BDI,,58.2,60.2
2025-04-29,Vimenca,,58.4,60.6
2025-04-29,BLH,,58.1,60.5
2025-04-29,Promerica,,58.5,60.75
2025-04-29,Banesco,,58.4,60.5
2025-04-29,Lafise,,58.25,60.6
2025-04-29,Ademi,,58.4,60.5
2025-04-29,Quezada,,58.4,59.5
