date,bank,tipo,buy,sell
2025-05-11,Scotiabank,Dólar (US) Sucursales,57.9,60.85
2025-05-11,Scotiabank,Dólar (US) Canales Digitales*,58.1,60.6
2025-05-11,Banreservas,,58.4,60.25
2025-05-11,Banco Popular,,58.1,60.6
2025-05-11,BHD,,58.1,60.25
2025-05-11,Santa Cruz,,58.25,60.25
2025-05-11,Banco Caribe,,58.25,59.9
2025-05-11,BDI,,58.3,60
2025-05-11,Vimenca,,58.25,60
2025-05-11,BLH,,58.1,60.1
2025-05-11,Promerica,,58.25,60.5
2025-05-11,Banesco,,58.4,60.5
2025-05-11,Lafise,,58.25,60.6
2025-05-11,Ademi,,58.4,60.5
2025-05-11,Quezada,,58.4,59.1
