date,bank,tipo,buy,sell
2025-06-05,Scotiabank,Dólar (US) Sucursales,57.8,60.5
2025-06-05,Scotiabank,Dólar (US) Canales Digitales*,57.9,60.4
2025-06-05,Banreservas,,58.4,60.25
2025-06-05,Banco Popular,,57.6,60.5
2025-06-05,BHD,,57.8,60.25
2025-06-05,Banco Caribe,,58.25,59.9
2025-06-05,BDI,,58.5,60
2025-06-05,Vimenca,,58.5,60.25
2025-06-05,BLH,,58.2,60.2
2025-06-05,Banesco,,58.4,60.5
2025-06-05,Ademi,,58.5,60.25
2025-06-05,Quezada,,58.9,59.5
2025-06-05,Lafise,,58.15,60.5
2025-06-05,Promerica,,58.25,60.5
2025-06-05,Santa Cruz,,58.5,60.25
