date,bank,tipo,buy,sell
2025-06-30,Scotiabank,Dólar (US) Sucursales,57.8,60.6
2025-06-30,Scotiabank,Dólar (US) Canales Digitales*,57.9,60.5
2025-06-30,Banreservas,,58.4,60.25
2025-06-30,Banco Popular,,57.5,60.5
2025-06-30,BHD,,57.75,60.5
2025-06-30,Banco Caribe,,58.5,60.4
2025-06-30,BDI,,58.9,60.5
2025-06-30,Vimenca,,59,60.5
2025-06-30,BLH,,58.2,60.5
2025-06-30,Banesco,,58.4,60.5
2025-06-30,Ademi,,58.65,60.5
2025-06-30,Quezada,,59.7,60.4
2025-06-30,Lafise,,58.45,60.5
2025-06-30,Promerica,,58.25,60.5
2025-06-30,Santa Cruz,,59.25,60.5
